mbid,artist_lastfm,country_lastfm,listeners_lastfm,scrobbles_lastfm
cdd95908-38b6-472e-a343-400d29baa1c6,Mexicanto,Cuba; Mexico; Spain,17157,107955
bf014765-46f0-4cd9-b658-c79c5c0166f8,Moby Grape,United States,133285,1195923
35625f79-682c-4379-ac34-97392a5883a2,Monkey Business,Czech Republic; France; Germany; Italy; Slovakia,36291,621892
3bdcd49d-212e-4f4f-877a-eac1e4a2bddc,Naughty By Nature,Jersey; United States,430934,3164449
0b610792-6d9b-45a4-b5de-0304b4007c3f,Pat Green,,91412,946597
53ae5e21-1d66-4082-a029-778d58925fbc,Photo Jenny,,610,5539
2a90aa9c-d2ff-49fd-a8e5-2463f657eb45,Rage,Germany,205421,8475278
e0bcd6af-e702-4e3c-964d-355801ce2c65,Rockpile,United Kingdom,26299,232986
9cc9a4f7-d11f-46c8-b97f-902b8a440cf4,Rome,Luxembourg,119431,9992556
12011221-c90f-410d-9eb2-870f25d6aaad,Rosa Maria,Australia; Brazil,3869,20993
440981eb-1c1e-43b7-a0bc-518bc9297a0c,Rosco Gordon,United States,22149,79833
8fbb1643-4c31-42ce-b900-5b697ea76540,Rowwen Hèze,Netherlands,25180,775267
e966076c-5c85-4c01-876f-cd2ecded6760,Ryan's Hope,United States,8733,158123
48bf5d11-ea2b-45b2-a68c-e14a6cd9331b,Sandi Patty,,17243,186377
99524243-dc2e-4bf3-82c0-72395391d21f,Scott Walker,United Kingdom; United States,334191,7406930
5193ce6b-a315-4c50-ae49-54e69ffbc988,Soft Machine,United Kingdom,175409,3479605
810a0d6d-564c-425b-84b9-f906e37bd0b4,Soluna,Argentina; Germany; Spain,7043,54793
217351e4-a130-49f1-aab9-99b53bf4fe9e,Soulsister,Belgium; Netherlands,34634,175534
2787d1b1-f086-48f3-82c6-9f9aea1ffba6,Talat Mahmood,India,5528,30504
f58c6195-cb4a-4604-abdc-333ac565f255,Tara Kemp,United States,5512,26587
b8b5895b-6c8c-4e1d-867c-b4ff96a074a7,Taylor Hicks,Australia; Canada; United States,27674,336029
5a704780-158e-4c43-a79b-59b55610d5e5,The Astors,,30261,101579
2cd7735b-7efa-4b41-9d06-a04f97f18976,The Clark Sisters,,28786,193062
8577c385-d06a-4a64-b4e7-6ebf25f2cb20,The Dream Syndicate,,61661,665496
28c07254-aeae-42ad-beea-67f59c3c8baf,The Feelies,,170529,2958810
f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,The Kooks,United Kingdom,2643672,111420305
eab6a6b9-fd38-4426-b679-5a6503d80877,The Litter,,55623,326792
747a4dd3-e9b6-48e5-9179-d0b005c5fc89,The New Yorkers,,1363,3414
20dcf3aa-c313-4f24-acd4-461327a76a73,The Paul Butterfield Blues Band,,121207,922040
7f64a5ed-b0d6-4686-9567-6ccf0915c06d,The Tokens,,188906,853217
a505bb48-ad65-4af4-ae47-29149715bff9,Thievery Corporation,,1455814,45559668
99790314-885a-4975-8614-9c5bc890364d,TLC,Georgia; United States,1170503,10999932
868b089c-389d-4eb2-91a9-8d17e284e7c7,Tom Clay,United States,2540,9591
11d1bdb1-17da-4f1e-bfb0-41b3ca1671e0,Trio Mio,,598,6291
d262fbb8-af80-479d-a541-ed7ba64918ba,Tuck Andress,,14279,99338
33490f31-7649-41a5-a21c-9b3c8d1a687e,Voxhaul Broadcast,,41202,266721
1d4d3e84-70d1-4814-af0b-b309a2f4cd7f,Voyce,,2067,9354
af0f682f-402b-41ea-a82c-889cae3db1cf,Wild Orchid,,4544,48447
53dd0229-8a42-4bd7-8ffb-29bdec25e9c6,William Onyeabor,Nigeria,105909,924376
6b1cf581-17a9-42c3-927b-d1e2797b1695,YG,Russia,403408,5680335
e617cb08-29ad-45ec-b3a8-da0e85ec2acb,A Bolha,Brazil,3725,51122
4bdcee62-4902-4773-8cd1-e252e2e31225,Alanis Morissette,Canada,1847070,46666864
a76d0f58-6784-4edc-a498-5339ee97c50c,Alex Christensen,,9365,69738
2fcb033b-919d-4897-b77c-14a41d7bc754,Another Bad Creation,United States,12236,61016
9689aa5a-4471-4fb4-9721-07cecda0fa9f,A Tribe Called Quest,United States,1317466,40352653
e8516591-dedf-410b-a810-7baee09ad0e1,Basil Kirchin,United Kingdom,12617,141768
49e9e1ca-8a85-4a76-b02f-5566532705f0,Berlin Radio Symphony Orchestra,Germany,9075,90821
fafe2656-b460-4702-9d45-4f33ffbe3683,Bernard Cribbins,United Kingdom,21160,134202
f50b09c0-75b4-4799-bace-67586289ce9b,Beryl Bryden,,334,928
681a173a-a18a-42a6-8136-3c0ef3d88036,Bill LaBounty,,7500,79285
63e8d6f9-e247-45c9-aaf2-e079cddbdd54,Billy Ray Cyrus,United States,214318,1171153
